drug_name,arm_id,difficulty,n_ground_truth,n_predicted,precision_at_1,precision_at_10,recall_at_1,recall_at_10,roc_auc,true_positives_at_10
Danazol,websearch-gpt52,easy,20,5,1.0,0.6,0.05,0.15,0.8333,Endometriosis; Hereditary angioedema (HAE); Menorrhagia / heavy menstrual bleeding (including endometrial hyperplasia-related bleeding)
Danazol,websearch-opus46,easy,20,9,1.0,0.5556,0.05,0.25,1.0,Endometriosis; Hereditary Angioedema (HAE); Aplastic Anemia / Bone Marrow Failure Syndromes; Immune Thrombocytopenic Purpura (ITP); Autoimmune Hemolytic Anemia (AIHA)
Danazol,websearch-sonnet45,easy,20,5,1.0,0.6,0.05,0.15,1.0,Endometriosis; Hereditary Angioedema; Immune Thrombocytopenia
DAPAGLIFLOZIN,pipeline-gpt41,medium,20,9,0.0,0.1111,0.0,0.05,0.4375,Insulin resistance/obesity
dapagliflozin,pipeline-gpt52,medium,20,12,0.0,0.0,0.0,0.0,0.2143,
dapagliflozin,pipeline-opus46,medium,20,16,0.0,0.1,0.0,0.05,0.5667,Insulin resistance
dapagliflozin,pipeline-sonnet45,medium,20,15,0.0,0.1,0.0,0.05,0.6429,insulin resistance
dapagliflozin,websearch-gpt41,medium,20,6,0.0,0.0,0.0,0.0,,
dapagliflozin,websearch-gpt52,medium,20,7,0.0,0.1429,0.0,0.05,0.3333,Obesity / overweight
Dapagliflozin,websearch-opus46,medium,20,8,0.0,0.125,0.0,0.05,0.1429,Obesity / Overweight
dapagliflozin,websearch-sonnet45,medium,20,6,0.0,0.0,0.0,0.0,,
Decitabine,pipeline-gpt41,easy,42,5,1.0,0.6,0.0238,0.0952,1.0,myelodysplastic syndrome; acute myeloid leukemia; chronic myelomonocytic leukemia
Decitabine,pipeline-gpt52,easy,42,7,1.0,0.5714,0.0238,0.119,0.85,myelodysplastic syndrome; acute myeloid leukemia; chronic myelomonocytic leukemia; neoplasm
Decitabine,pipeline-opus46,easy,42,9,1.0,0.5556,0.0238,0.119,0.8,"Myelodysplastic syndrome; Acute myeloid leukemia; Chronic myelomonocytic leukemia; Chronic myeloid leukemia; Neoplasm (solid tumors - breast cancer, hepatocellular carcinoma, oral squamous cell carcinoma, glioma)"
DECITABINE,pipeline-sonnet45,easy,42,6,1.0,0.6667,0.0238,0.119,0.9167,myelodysplastic syndrome; acute myeloid leukemia; chronic myelomonocytic leukemia; neoplasm
decitabine,websearch-gpt41,easy,42,5,1.0,0.8,0.0238,0.0952,0.9583,Myelodysplastic Syndromes (MDS); Acute Myeloid Leukemia (AML); Chronic Myelomonocytic Leukemia (CMML); Chronic Myeloid Leukemia (CML)
Decitabine,websearch-gpt52,easy,42,6,1.0,0.5,0.0238,0.0952,1.0,Myelodysplastic syndromes (MDS); Acute myeloid leukemia (AML); Chronic myelomonocytic leukemia (CMML)
Decitabine,websearch-opus46,easy,42,8,1.0,0.5,0.0238,0.0952,0.9375,Myelodysplastic Syndromes (MDS); Acute Myeloid Leukemia (AML); Chronic Myelomonocytic Leukemia (CMML); Chronic Myeloid Leukemia (CML)
Decitabine,websearch-sonnet45,easy,42,3,1.0,0.6667,0.0238,0.0714,1.0,Myelodysplastic Syndrome; Acute Myeloid Leukemia
Disulfiram,pipeline-gpt41,hard,28,7,0.0,0.2857,0.0,0.0714,0.75,melanoma; non-small cell lung carcinoma
Disulfiram,pipeline-gpt52,hard,28,3,0.0,0.3333,0.0,0.0357,0.5625,alcohol-related disorders
Disulfiram,pipeline-sonnet45,hard,28,10,0.0,0.4,0.0,0.1429,0.7143,alcohol-related disorders; non-small cell lung carcinoma; melanoma; breast neoplasm
Disulfiram,websearch-gpt41,hard,28,3,0.0,0.0,0.0,0.0,,
Disulfiram,websearch-gpt52,hard,28,0,0.0,0.0,0.0,0.0,,
Disulfiram,websearch-opus46,hard,28,8,0.0,0.125,0.0,0.0357,0.0714,Melanoma
Disulfiram,websearch-sonnet45,hard,28,5,0.0,0.0,0.0,0.0,,
Doxepin,pipeline-gpt41,hard,13,4,1.0,0.5,0.1538,0.2308,0.75,depressive disorder; Sleep Disorder
Doxepin,pipeline-gpt52,hard,13,4,1.0,0.5,0.1538,0.2308,1.0,depressive disorder; Sleep Disorder
Doxepin,pipeline-opus46,hard,13,5,1.0,0.4,0.1538,0.2308,0.75,Depressive Disorder; Pruritus (general)
Doxepin,pipeline-sonnet45,hard,13,4,0.0,0.5,0.0,0.2308,0.5,depressive disorder; Sleep Disorder
doxepin,websearch-gpt41,hard,13,5,1.0,0.4,0.1538,0.2308,0.6667,Major Depressive Disorder; Anxiety Disorders
Doxepin,websearch-opus46,hard,13,7,1.0,0.4286,0.1538,0.3077,0.8333,Major Depressive Disorder; Pruritus (Chronic Itch / Atopic Dermatitis); Anxiety Disorders (Generalized Anxiety)
Doxepin,websearch-sonnet45,hard,13,8,0.0,0.25,0.0,0.2308,0.7083,Major depressive disorder; Anxiety disorders
Epoprostenol,pipeline-gpt41,medium,17,2,1.0,1.0,0.0588,0.0588,1.0,pulmonary arterial hypertension; pulmonary hypertension
Epoprostenol,pipeline-gpt52,medium,17,2,1.0,1.0,0.0588,0.0588,1.0,pulmonary arterial hypertension; pulmonary hypertension
Epoprostenol,pipeline-opus46,medium,17,3,1.0,0.6667,0.0588,0.0588,1.0,Pulmonary arterial hypertension; Pulmonary hypertension
EPOPROSTENOL,pipeline-sonnet45,medium,17,6,1.0,0.3333,0.0588,0.0588,1.0,pulmonary arterial hypertension; pulmonary hypertension
Epoprostenol,websearch-gpt41,medium,17,6,1.0,0.1667,0.0588,0.0588,0.9,Pulmonary Arterial Hypertension
Epoprostenol,websearch-gpt52,medium,17,9,1.0,0.2222,0.0588,0.0588,1.0,Pulmonary arterial hypertension; Pulmonary hypertension
Epoprostenol,websearch-opus46,medium,17,7,1.0,0.1429,0.0588,0.0588,1.0,Pulmonary Arterial Hypertension (PAH)
Epoprostenol,websearch-sonnet45,medium,17,6,1.0,0.1667,0.0588,0.0588,1.0,Pulmonary Arterial Hypertension
ERLOTINIB HYDROCHLORIDE,pipeline-gpt41,medium,14,7,1.0,0.2857,0.0714,0.2143,1.0,Non-small cell lung carcinoma (NSCLC); Lung adenocarcinoma
Erlotinib Hydrochloride,pipeline-gpt52,medium,14,6,1.0,0.3333,0.0714,0.2143,0.7407,non-small cell lung carcinoma; lung adenocarcinoma
Erlotinib Hydrochloride,pipeline-opus46,medium,14,21,1.0,0.3,0.0714,0.2857,0.7574,Non-small cell lung carcinoma; Lung adenocarcinoma; Squamous cell lung carcinoma
Erlotinib Hydrochloride,pipeline-sonnet45,medium,14,11,1.0,0.2,0.0714,0.2143,1.0,non-small cell lung carcinoma; lung adenocarcinoma
Erlotinib Hydrochloride,websearch-gpt41,medium,14,5,0.0,0.2,0.0,0.0714,0.0,Head and neck squamous cell carcinoma
Erlotinib hydrochloride,websearch-gpt52,medium,14,6,0.0,0.1667,0.0,0.0714,0.4,Head and neck squamous cell carcinoma (HNSCC)
Erlotinib Hydrochloride,websearch-opus46,medium,14,8,0.0,0.0,0.0,0.0,,
Erlotinib Hydrochloride,websearch-sonnet45,medium,14,7,0.0,0.0,0.0,0.0,,
ETHOSUXIMIDE,pipeline-gpt41,hard,11,5,1.0,0.2,0.0909,0.0909,0.875,epilepsy
Ethosuximide,pipeline-gpt52,hard,11,3,0.0,0.6667,0.0,0.1818,0.8,epilepsy; Seizure
Ethosuximide,pipeline-opus46,hard,11,8,1.0,0.25,0.0909,0.1818,0.875,epilepsy; Seizure
ETHOSUXIMIDE,pipeline-sonnet45,hard,11,6,0.0,0.3333,0.0,0.1818,0.8,epilepsy; Seizure
ethosuximide,websearch-gpt41,hard,11,4,0.0,0.0,0.0,0.0,,
Ethosuximide,websearch-gpt52,hard,11,5,0.0,0.0,0.0,0.0,,
Ethosuximide,websearch-opus46,hard,11,9,0.0,0.0,0.0,0.0,,
Ethosuximide,websearch-sonnet45,hard,11,8,1.0,0.125,0.0909,0.0909,1.0,Absence Epilepsy (Childhood Absence Epilepsy)
Fingolimod Hydrochloride,pipeline-gpt41,medium,13,3,1.0,0.6667,0.0769,0.1538,1.0,multiple sclerosis; relapsing-remitting multiple sclerosis
Fingolimod Hydrochloride,pipeline-gpt52,medium,13,3,1.0,0.6667,0.0769,0.1538,1.0,multiple sclerosis; relapsing-remitting multiple sclerosis
Fingolimod Hydrochloride,pipeline-opus46,medium,13,8,1.0,0.25,0.0769,0.1538,1.0,Relapsing-remitting multiple sclerosis; Multiple sclerosis
Fingolimod Hydrochloride,pipeline-sonnet45,medium,13,4,1.0,0.5,0.0769,0.1538,1.0,relapsing-remitting multiple sclerosis; multiple sclerosis
Fingolimod Hydrochloride,websearch-gpt41,medium,13,3,1.0,0.3333,0.0769,0.0769,1.0,Multiple Sclerosis (Relapsing-Remitting and Secondary-Progressive)
Fingolimod hydrochloride (FTY720),websearch-gpt52,medium,13,6,1.0,0.1667,0.0769,0.0769,1.0,Multiple sclerosis (relapsing forms)
Fingolimod Hydrochloride,websearch-opus46,medium,13,6,1.0,0.1667,0.0769,0.0769,1.0,Relapsing-Remitting Multiple Sclerosis (RRMS)
Fingolimod Hydrochloride,websearch-sonnet45,medium,13,8,1.0,0.125,0.0769,0.0769,1.0,Relapsing-Remitting Multiple Sclerosis
Flecainide,pipeline-gpt41,easy,13,3,1.0,0.6667,0.0769,0.1538,1.0,Atrial fibrillation; Cardiac arrhythmia (ventricular and supraventricular)
Flecainide,pipeline-gpt52,easy,13,2,1.0,1.0,0.0769,0.1538,1.0,atrial fibrillation; cardiac arrhythmia
Flecainide,pipeline-opus46,easy,13,5,1.0,0.6,0.0769,0.2308,1.0,Atrial fibrillation; Cardiac arrhythmia; Supraventricular tachyarrhythmia
Flecainide,pipeline-sonnet45,easy,13,6,1.0,0.6667,0.0769,0.3077,1.0,Atrial fibrillation; Cardiac arrhythmia; Supraventricular tachycardia; Ventricular tachycardia
Flecainide,websearch-gpt41,easy,13,6,0.0,0.0,0.0,0.0,,
Flecainide,websearch-gpt52,easy,13,6,1.0,0.6667,0.0769,0.3077,1.0,Atrial fibrillation; Atrial flutter; Supraventricular tachycardia; Ventricular tachycardia
Flecainide,websearch-opus46,easy,13,7,1.0,0.1429,0.0769,0.0769,0.9167,Atrial Fibrillation
Flecainide,websearch-sonnet45,easy,13,6,1.0,0.3333,0.0769,0.1538,0.65,Atrial Fibrillation; Supraventricular Tachycardia
Glycopyrrolate,pipeline-gpt41,medium,11,0,0.0,0.0,0.0,0.0,,
Glycopyrrolate,pipeline-gpt52,medium,11,0,0.0,0.0,0.0,0.0,,
Glycopyrrolate,pipeline-opus46,medium,11,7,1.0,0.4286,0.0909,0.2727,0.5833,Chronic Obstructive Pulmonary Disease (COPD); Bradycardia (perioperative); Asthma
Glycopyrrolate,pipeline-sonnet45,medium,11,8,1.0,0.5,0.0909,0.3636,0.9375,Sialorrhea; Chronic Obstructive Pulmonary Disease; Asthma; Bradycardia
glycopyrrolate,websearch-gpt41,medium,11,5,0.0,0.4,0.0,0.1818,0.3333,Chronic obstructive pulmonary disease (COPD); Hyperhidrosis (excessive sweating)
Glycopyrrolate (glycopyrronium),websearch-gpt52,medium,11,5,1.0,0.2,0.0909,0.0909,0.875,Chronic obstructive pulmonary disease (COPD)
Glycopyrrolate (Glycopyrronium Bromide),websearch-opus46,medium,11,10,1.0,0.2,0.0909,0.1818,0.9375,"Chronic Obstructive Pulmonary Disease (COPD); Sialorrhea / Chronic Severe Drooling (Neurological Conditions, e.g., Cerebral Palsy)"
Glycopyrrolate,websearch-sonnet45,medium,11,3,1.0,1.0,0.0909,0.2727,,Chronic Obstructive Pulmonary Disease (COPD); Hyperhidrosis; Asthma
icatibant,pipeline-gpt41,hard,12,2,1.0,0.5,0.0833,0.0833,1.0,hereditary angioedema (HAE)/angioedema
icatibant,pipeline-gpt52,hard,12,2,1.0,0.5,0.0833,0.0833,1.0,hereditary angioedema
icatibant,pipeline-opus46,hard,12,4,1.0,0.25,0.0833,0.0833,1.0,hereditary angioedema
icatibant,pipeline-sonnet45,hard,12,6,1.0,0.1667,0.0833,0.0833,0.6429,hereditary angioedema
icatibant,websearch-gpt41,hard,12,5,1.0,0.2,0.0833,0.0833,1.0,Hereditary Angioedema (HAE)
icatibant,websearch-gpt52,hard,12,6,0.0,0.0,0.0,0.0,,
Icatibant,websearch-opus46,hard,12,9,0.0,0.1111,0.0,0.0833,0.75,Hereditary Angioedema Type III (Estrogen-Dependent / Factor XII Mutations)
Icatibant,websearch-sonnet45,hard,12,4,1.0,0.5,0.0833,0.0833,0.95,Hereditary Angioedema; Hereditary Angioedema Type III
Imiquimod,pipeline-gpt41,medium,13,15,1.0,0.3,0.0769,0.2308,0.7969,actinic keratosis; basal cell carcinoma; keratosis
Imiquimod,pipeline-gpt52,medium,13,4,1.0,0.5,0.0769,0.1538,1.0,basal cell carcinoma; actinic keratosis
Imiquimod,pipeline-opus46,medium,13,16,1.0,0.2,0.0769,0.1538,0.9853,Actinic keratosis; Basal cell carcinoma
Imiquimod,pipeline-sonnet45,medium,13,14,1.0,0.3,0.0769,0.2308,0.9778,actinic keratosis; basal cell carcinoma; keratosis
Imiquimod,websearch-gpt41,medium,13,14,0.0,0.3,0.0,0.2308,0.5909,Actinic Keratosis; Oral Squamous Cell Carcinoma; Bowen's disease
Imiquimod,websearch-gpt52,medium,13,6,1.0,0.3333,0.0769,0.1538,0.875,Condyloma acuminatum (genital warts; HPV-associated); Actinic keratosis
Imiquimod,websearch-opus46,medium,13,7,0.0,0.4286,0.0,0.1538,0.4167,Actinic Keratosis; Squamous Cell Carcinoma (SCC) / Bowen Disease (SCC In Situ); Oral Squamous Cell Carcinoma (OSCC)
Imiquimod,websearch-sonnet45,medium,13,7,1.0,0.2857,0.0769,0.1538,0.9,Basal Cell Carcinoma; Actinic Keratosis
Ketorolac,pipeline-gpt41,hard,15,9,1.0,0.2222,0.0667,0.1333,0.9286,"Migraine disorder; Pain (including neuropathic pain, dysmenorrhea)"
Ketorolac,pipeline-gpt52,hard,15,6,1.0,0.5,0.0667,0.2,0.9074,Pain; migraine disorder; Headache
Ketorolac,pipeline-opus46,hard,15,15,1.0,0.4,0.0667,0.2667,0.9688,Pain (acute and chronic); Inflammation (general); Migraine disorder; Headache (acute)
Ketorolac,pipeline-sonnet45,hard,15,9,1.0,0.4444,0.0667,0.2667,0.7857,Pain (acute and chronic); Migraine disorder; Inflammation (general); Headache (general)
ketorolac,websearch-gpt41,hard,15,6,0.0,0.0,0.0,0.0,,
Ketorolac,websearch-gpt52,hard,15,5,0.0,0.0,0.0,0.0,,
